nd_id,ca_id,hy,value
0,0,0,5682.520969335
0,0,1,5455.290458099
0,0,2,5145.547817704
0,0,3,5031.996648771
0,0,4,5086.340631117
0,0,5,5052.766684685
0,0,6,5331.167284117
0,0,7,5551.668651921
0,0,8,5850.554650945
0,0,9,6145.110173114
0,0,10,6309.030381662
0,0,11,6272.707077554
0,0,12,6126.623056701
0,0,13,6087.748969871
0,0,14,6053.989171241
0,0,15,6339.759558572
0,0,16,6778.18865666
0,0,17,6801.048700116
0,0,18,6560.414407454
0,0,19,6294.358386351
0,0,20,5902.98019644
0,0,21,5967.178234078
0,0,22,5586.949977307
0,0,23,5328.930898141
0,0,24,5076.81918366
0,0,25,4983.194334946
0,0,26,4821.330576861
0,0,27,4942.893735176
0,0,28,5372.322650585
0,0,29,5869.224803872
0,0,30,6580.763787486
0,0,31,6965.246459233
0,0,32,7215.893882712
0,0,33,7329.618578077
0,0,34,7315.718911688
0,0,35,7195.483963086
0,0,36,7110.240924025
0,0,37,7115.442052971
0,0,38,7193.081393691
0,0,39,7520.438599582
0,0,40,7830.976114324
0,0,41,7672.392315124
0,0,42,7235.446349492
0,0,43,6780.449637371
0,0,44,6243.170418642
0,0,45,6238.904111491
0,0,46,5838.362654557
0,0,47,5509.83520189
0,0,48,5225.341379505
0,0,49,4993.738697017
0,0,50,4831.511117118
0,0,51,4858.154324287
0,0,52,5130.125623882
0,0,53,5405.852715847
0,0,54,6008.570958317
0,0,55,6412.287673035
0,0,56,6689.864577853
0,0,57,6844.975400724
0,0,58,6872.059698403
0,0,59,6723.454010813
0,0,60,6569.362394105
0,0,61,6562.412839053
0,0,62,6662.30711983
0,0,63,6998.755052983
0,0,64,7294.651184075
0,0,65,7111.40625674
0,0,66,6711.572240383
0,0,67,6370.908052014
0,0,68,5984.757709425
0,0,69,6040.196424615
0,0,70,5702.35378151
0,0,71,5368.750669918
0,0,72,5052.936723804
0,0,73,4885.708103794
0,0,74,4726.380018487
0,0,75,4758.69668314
0,0,76,4923.564751879
0,0,77,5032.064127203
0,0,78,5499.418762396
0,0,79,5818.083310325
0,0,80,6200.410096833
0,0,81,6449.028355612
0,0,82,6695.467534401
0,0,83,6506.707196263
0,0,84,6302.385618171
0,0,85,6175.231290333
0,0,86,6177.936373892
0,0,87,6556.37310867
0,0,88,6966.29438541
0,0,89,6991.024466203
0,0,90,6778.982049441
0,0,91,6486.799516737
0,0,92,6110.701755987
0,0,93,6130.659221295
0,0,94,5776.84479581
0,0,95,5488.023403504
0,0,96,5306.467248317
0,0,97,5166.358170026
0,0,98,5019.983310216
0,0,99,5090.286065183
0,0,100,5496.73002598
0,0,101,6006.489270493
0,0,102,6702.424886218
0,0,103,7134.166412831
0,0,104,7433.370610854
0,0,105,7581.141210821
0,0,106,7704.911775103
0,0,107,7639.75590739
0,0,108,7550.243233844
0,0,109,7558.221083268
0,0,110,7543.216510903
0,0,111,7745.16851459
0,0,112,8025.606759327
0,0,113,7945.191941069
0,0,114,7493.702044748
0,0,115,6994.576972619
0,0,116,6480.949118715
0,0,117,6504.280211284
0,0,118,6098.136789723
0,0,119,5734.629985367
0,0,120,5441.966953129
0,0,121,5266.645400631
0,0,122,5080.462601039
0,0,123,5088.419596488
0,0,124,5243.359495223
0,0,125,5327.652924154
0,0,126,5760.439139168
0,0,127,6063.337165346
0,0,128,6411.783667354
0,0,129,6677.284674115
0,0,130,6856.167381331
0,0,131,6613.414412152
0,0,132,6381.556377307
0,0,133,6230.680833378
0,0,134,6207.905536962
0,0,135,6555.610118013
0,0,136,7090.708038773
0,0,137,7144.100864464
0,0,138,6947.861690529
0,0,139,6687.474375853
0,0,140,6270.224975268
0,0,141,6355.550878644
0,0,142,6008.748919784
0,0,143,5787.83412357
0,0,144,5549.192434248
0,0,145,5437.08908968
0,0,146,5321.016762052
0,0,147,5459.835893124
0,0,148,6098.645412339
0,0,149,7142.973033564
0,0,150,8066.040700799
0,0,151,8346.808361594
0,0,152,8413.407486414
0,0,153,8496.231720248
0,0,154,8518.757007127
0,0,155,8430.394181667
0,0,156,8355.306325124
0,0,157,8297.488137844
0,0,158,8297.222251069
0,0,159,8526.632691835
0,0,160,8837.968120573
0,0,161,8701.831705238
0,0,162,8203.51129656
0,0,163,7710.362503663
0,0,164,7196.93837531
0,0,165,7088.489063341
0,0,166,6620.518717396
0,0,167,6360.20401955
0,0,168,6107.550591706
0,0,169,5980.951960777
0,0,170,5853.725822288
0,0,171,5946.721231757
0,0,172,6508.308048073
0,0,173,7471.965297496
0,0,174,8287.398867973
0,0,175,8590.349370551
0,0,176,8649.398155713
0,0,177,8678.312188947
0,0,178,8743.290198127
0,0,179,8542.053748948
0,0,180,8443.156920014
0,0,181,8359.512175601
0,0,182,8333.244831716
0,0,183,8506.795680436
0,0,184,8819.943201419
0,0,185,8690.231941154
0,0,186,8185.554113307
0,0,187,7706.314065652
0,0,188,7121.65862929
0,0,189,6970.912831338
0,0,190,6516.525794162
0,0,191,6195.916854874
0,0,192,5878.948620805
0,0,193,5696.32105675
0,0,194,5510.613517242
0,0,195,5720.625755053
0,0,196,6295.746892877
0,0,197,7187.979898502
0,0,198,8014.281510952
0,0,199,8351.159226072
0,0,200,8441.511442453
0,0,201,8467.040742406
0,0,202,8456.895234618
0,0,203,8202.197432331
0,0,204,8042.125419686
0,0,205,8022.398013218
0,0,206,8017.467982396
0,0,207,8327.3336992
0,0,208,8513.459168628
0,0,209,8343.641874543
0,0,210,7865.321362891
0,0,211,7353.319465235
0,0,212,6821.766816979
0,0,213,6777.152600645
0,0,214,6286.448498999
0,0,215,5941.285639589
0,0,216,5566.791321224
0,0,217,5327.690817469
0,0,218,5104.952941022
0,0,219,5073.776821512
0,0,220,5285.603220745
0,0,221,5568.827894414
0,0,222,6183.306166386
0,0,223,6634.630300363
0,0,224,6897.884968052
0,0,225,7062.880670773
0,0,226,7073.929985975
0,0,227,6801.822626403
0,0,228,6607.861303021
0,0,229,6479.422263303
0,0,230,6511.373860068
0,0,231,6706.372941104
0,0,232,7180.711783274
0,0,233,7051.638198861
0,0,234,6653.39281118
0,0,235,6269.797914601
0,0,236,5858.699770003
0,0,237,5925.846465062
0,0,238,5604.047565683
0,0,239,5280.349806465
0,0,240,4987.08864688
0,0,241,4810.9120682
0,0,242,4651.215308115
0,0,243,4680.44801664
0,0,244,4816.37819239
0,0,245,4926.935026995
0,0,246,5433.141644998
0,0,247,5893.41763967
0,0,248,6336.178759974
0,0,249,6738.248789796
0,0,250,6987.757624155
0,0,251,6846.550842528
0,0,252,6628.324298818
0,0,253,6462.283778722
0,0,254,6417.908847695
0,0,255,6662.962152834
0,0,256,7007.294166845
0,0,257,7087.65570139
0,0,258,6836.632440076
0,0,259,6548.018712106
0,0,260,6229.637126794
0,0,261,6372.686080589
0,0,262,6021.842219074
0,0,263,5769.923484335
0,0,264,5576.891293677
0,0,265,5429.206372429
0,0,266,5334.991082105
0,0,267,5529.950309315
0,0,268,6186.828347664
0,0,269,7252.455791912
0,0,270,8171.902438926
0,0,271,8390.513805867
0,0,272,8431.881457283
0,0,273,8465.088210614
0,0,274,8468.942463627
0,0,275,8245.222987936
0,0,276,8164.389500474
0,0,277,8023.165616613
0,0,278,7985.642986702
0,0,279,8239.538477324
0,0,280,8595.492500531
0,0,281,8488.669628043
0,0,282,8000.059511108
0,0,283,7538.629205813
0,0,284,6957.68307354
0,0,285,6825.709179144
0,0,286,6375.513926379
0,0,287,6055.822415387
0,0,288,5810.773427941
0,0,289,5658.220272939
0,0,290,5522.655742077
0,0,291,5702.724092991
