nd_id,ca_id,hy,value
0,0,0,0.000277089510085534
1,0,0,0.000226492551629608
2,0,0,0.000189931481474536
3,0,0,0.000326588280461413
4,0,0,0.000231469252302738
0,0,1,0.000278088750579229
1,0,1,0.000227013151790978
2,0,1,0.000192966258664252
3,0,1,0.000327360233674877
4,0,1,0.000228929966716189
0,0,2,0.000279087989051557
1,0,2,0.000227533754798528
2,0,2,0.000196001035866997
3,0,2,0.000328132186674021
4,0,2,0.000226390680815366
0,0,3,0.000280087229316121
1,0,3,0.000228054354959898
2,0,3,0.000199035813219907
3,0,3,0.000328904139871042
4,0,3,0.000223851395044693
0,0,4,0.000276165683075653
1,0,4,0.000230261859950732
2,0,4,0.000200973857215722
3,0,4,0.000329260961270943
4,0,4,0.000223958001210024
0,0,5,0.000272244137211458
1,0,5,0.000232469364800591
2,0,5,0.000202911900863859
3,0,5,0.000329617783695874
4,0,5,0.000224064607670227
0,0,6,0.000268322591463896
1,0,6,0.000234676869791425
2,0,6,0.00020484994484318
3,0,6,0.000329974605088516
4,0,6,0.00022417121370629
0,0,7,0.000259141125887787
1,0,7,0.000229600276421194
2,0,7,0.000203095695504586
3,0,7,0.000323316708018537
4,0,7,0.000216402158277455
0,0,8,0.000249959659798756
1,0,8,0.000224523681362735
2,0,8,0.000201341445979462
3,0,8,0.000316658811238377
4,0,8,0.000208633103021455
0,0,9,0.000240778194708513
1,0,9,0.000219447087493434
2,0,9,0.000199587196632423
3,0,9,0.00031000091452911
4,0,9,0.000200864046886657
0,0,10,0.000227382862226487
1,0,10,0.000198115840824496
2,0,10,0.000191390032477021
3,0,10,0.000284216050304574
4,0,10,0.000190194230020294
0,0,11,0.000213987529867881
1,0,11,0.000176784592920315
2,0,11,0.000183192868286947
3,0,11,0.000258431185282786
4,0,11,0.000179524413073037
0,0,12,0.000200592196842517
1,0,12,0.000155453346415994
2,0,12,0.0001749957044017
3,0,12,0.000232646322538692
4,0,12,0.000168854596464243
0,0,13,0.000204871540481861
1,0,13,0.000158416887477811
2,0,13,0.000176260502945527
3,0,13,0.000232374325770862
4,0,13,0.000170968957682387
0,0,14,0.000209150883865561
1,0,14,0.000161380428473285
2,0,14,0.000177525301460026
3,0,14,0.00023210232899702
4,0,14,0.000173083318200613
0,0,15,0.000213430227365708
1,0,15,0.000164343969530481
2,0,15,0.000178790100037082
3,0,15,0.000231830332015006
4,0,15,0.000175197679546606
0,0,16,0.000219559332209323
1,0,16,0.000173570933872885
2,0,16,0.000181590542199439
3,0,16,0.000245784575224842
4,0,16,0.000182714843850422
0,0,17,0.000225688437737597
1,0,17,0.000182797898048233
2,0,17,0.000184390984468446
3,0,17,0.000259738818264723
4,0,17,0.000190232007939683
0,0,18,0.000231817542869823
1,0,18,0.000192024862881238
2,0,18,0.000187191426828455
3,0,18,0.000273693060964983
4,0,18,0.00019774917199557
0,0,19,0.000238342818856974
1,0,19,0.000197223058475755
2,0,19,0.000187804087939353
3,0,19,0.000276262645131513
4,0,19,0.000200414284086395
0,0,20,0.000244868094533168
1,0,20,0.000202421252750644
2,0,20,0.000188416749028739
3,0,20,0.000278832229016804
4,0,20,0.000203079396513189
0,0,21,0.000251393370606362
1,0,21,0.000207619448371718
2,0,21,0.000189029410257675
3,0,21,0.000281401813311225
4,0,21,0.000205744508530206
0,0,22,0.000254752218248748
1,0,22,0.000206853990829874
2,0,22,0.000188137903678871
3,0,22,0.000279595994856462
4,0,22,0.000207291135220003
0,0,23,0.000258111065315425
1,0,23,0.000206088533535202
2,0,23,0.000187246396969424
3,0,23,0.000277790177137163
4,0,23,0.000208837761712059
0,0,24,0.000261469913261036
1,0,24,0.000205323076244602
2,0,24,0.000186354890425996
3,0,24,0.000275984358401063
4,0,24,0.00021038438832019
0,0,25,0.000256601730025097
1,0,25,0.000204253677892316
2,0,25,0.000183350433551167
3,0,25,0.000270167243401007
4,0,25,0.000210010421336393
0,0,26,0.00025173354714476
1,0,26,0.000203184278496415
2,0,26,0.000180345976272408
3,0,26,0.000264350126940524
4,0,26,0.000209636454584209
0,0,27,0.000246865363115749
1,0,27,0.000202114879787709
2,0,27,0.000177341519225393
