pp_id,min_erg_mt_out_share,max_erg_mt_in_share,min_erg_share
2,0.05,0.204099723704483,0.117778349607398
0,0.05,0.204099723704483,0.2
3,0.05,0.132125228210156,0.333489184979235
4,0.05,0.204099723704483,0.318060689418035
1,0.05,0.136765542556875,0.070039189664139
