nd_id,nd_2_id,erg_trm
0,1,6805.330322
0,2,3260.60908
0,4,1533.469162
2,0,16155.646616
1,0,269.87016
4,0,39.707215
2,1,16081.0
2,3,1363.0
1,2,3021.0
3,2,12093.0
4,1,824.0
4,3,810.0
1,4,26180.0
3,4,16316.0
3,1,10274.0
1,3,4403.0
