hy,nd_id,fl_id,value
105,2,17,40.46
105,3,17,50.6
106,1,17,52.35
106,2,17,40.97
106,3,17,50.5
107,1,17,52.02
107,2,17,40.72
107,3,17,48.45
108,1,17,50.4
108,2,17,41.92
108,3,17,44.54
109,1,17,50.55
109,2,17,42.0
109,3,17,42.0
110,1,17,49.46
110,2,17,43.1
110,3,17,43.1
111,1,17,50.79
111,2,17,46.7
111,3,17,46.7
112,1,17,58.08
112,2,17,56.78
112,3,17,56.78
113,1,17,64.63
113,2,17,58.84
113,3,17,58.84
114,1,17,61.17
114,2,17,49.23
114,3,17,53.6
115,1,17,54.19
115,2,17,44.32
115,3,17,46.9
116,1,17,51.16
116,2,17,40.0
116,3,17,44.58
117,1,17,50.64
117,2,17,35.08
117,3,17,48.7
118,1,17,48.78
118,2,17,30.03
118,3,17,46.06
119,1,17,43.4
119,2,17,30.02
119,3,17,45.56
120,1,17,39.86
120,2,17,30.57
120,3,17,40.28
121,1,17,38.04
121,2,17,30.25
121,3,17,39.2
122,1,17,33.14
122,2,17,30.29
122,3,17,36.22
123,1,17,30.21
123,2,17,30.63
123,3,17,34.04
124,1,17,35.88
124,2,17,29.64
124,3,17,38.58
125,1,17,41.41
125,2,17,29.67
125,3,17,43.32
126,1,17,50.67
126,2,17,38.82
126,3,17,50.0
127,1,17,50.26
127,2,17,40.76
127,3,17,49.53
128,1,17,49.79
128,2,17,40.02
128,3,17,50.87
129,1,17,48.34
129,2,17,33.99
129,3,17,50.86
130,1,17,47.43
130,2,17,31.22
130,3,17,50.17
131,1,17,46.26
131,2,17,30.06
131,3,17,47.97
132,1,17,44.25
132,2,17,29.99
132,3,17,45.2
133,1,17,43.79
133,2,17,30.73
133,3,17,41.45
134,1,17,43.94
134,2,17,37.38
134,3,17,40.08
135,1,17,47.01
135,2,17,40.32
135,3,17,43.62
136,1,17,52.45
136,2,17,45.96
136,3,17,48.55
137,1,17,54.26
137,2,17,45.71
137,3,17,52.32
138,1,17,52.98
138,2,17,39.57
138,3,17,53.1
139,1,17,49.96
139,2,17,32.92
139,3,17,48.78
140,1,17,47.92
140,2,17,29.15
140,3,17,43.91
141,1,17,48.94
141,2,17,28.46
141,3,17,44.58
142,1,17,47.98
142,2,17,26.97
142,3,17,45.73
143,1,17,43.5
143,2,17,24.97
143,3,17,40.0
144,1,17,39.46
144,2,17,24.65
144,3,17,36.69
145,1,17,37.08
145,2,17,24.68
145,3,17,37.45
146,1,17,35.06
146,2,17,25.06
146,3,17,32.08
147,1,17,33.69
147,2,17,26.1
147,3,17,29.48
148,1,17,38.02
148,2,17,26.95
148,3,17,34.94
149,1,17,47.98
149,2,17,31.43
149,3,17,41.74
150,1,17,52.41
150,2,17,45.98
150,3,17,49.17
151,1,17,53.9
151,2,17,47.91
151,3,17,54.44
152,1,17,54.95
152,2,17,48.91
152,3,17,50.99
153,1,17,54.22
153,2,17,50.0
153,3,17,50.0
154,1,17,53.76
154,2,17,51.22
154,3,17,51.22
155,1,17,51.98
155,2,17,50.15
155,3,17,50.15
156,1,17,50.42
156,2,17,51.46
156,3,17,51.46
157,1,17,48.95
157,2,17,50.88
157,3,17,50.88
158,1,17,48.92
158,2,17,48.0
158,3,17,48.0
159,1,17,49.79
159,2,17,47.14
159,3,17,47.14
160,1,17,52.85
160,2,17,51.07
160,3,17,51.07
161,1,17,55.86
161,2,17,47.42
161,3,17,52.46
162,1,17,54.04
162,2,17,44.83
162,3,17,48.78
163,1,17,50.3
163,2,17,33.86
163,3,17,47.45
164,1,17,46.47
164,2,17,27.42
164,3,17,42.02
165,1,17,47.86
165,2,17,27.02
165,3,17,45.57
166,1,17,45.55
166,2,17,22.11
166,3,17,45.6
167,1,17,44.19
167,2,17,21.92
167,3,17,43.88
168,1,17,42.18
168,2,17,19.35
168,3,17,35.65
169,1,17,41.09
