nd_id,ca_id,swhy_vl,hy,price_eur_mwh,volume_mwh
1,0,yr2015,158,48.92,2097.7
1,0,yr2015,159,49.79,2229.5
1,0,yr2015,160,52.85,2123.5
1,0,yr2015,161,55.86,2768.3
1,0,yr2015,162,54.04,2442.2
1,0,yr2015,163,50.3,2337.6
1,0,yr2015,164,46.47,2515.7
1,0,yr2015,165,47.86,2467.8
1,0,yr2015,166,45.55,2144.8
1,0,yr2015,167,44.19,1760.6
1,0,yr2015,168,42.18,1875.4
1,0,yr2015,169,41.09,1868.2
1,0,yr2015,170,40.98,1741.2
1,0,yr2015,171,39.18,1809.6
1,0,yr2015,172,44.2,2015.7
1,0,yr2015,173,47.02,2099.0
1,0,yr2015,174,49.44,2169.6
1,0,yr2015,175,49.99,2213.5
1,0,yr2015,176,49.43,2129.3
1,0,yr2015,177,48.76,2152.8
1,0,yr2015,178,48.04,2243.5
1,0,yr2015,179,48.09,2239.2
1,0,yr2015,180,48.35,2222.0
1,0,yr2015,181,48.41,2439.7
1,0,yr2015,182,48.42,2359.0
1,0,yr2015,183,48.47,2316.1
1,0,yr2015,184,48.1,2269.2
1,0,yr2015,185,47.42,2253.1
1,0,yr2015,186,46.75,2160.2
1,0,yr2015,187,46.69,2085.5
1,0,yr2015,188,46.31,2171.8
1,0,yr2015,189,46.91,1999.6
1,0,yr2015,190,41.0,1864.0
1,0,yr2015,191,42.44,1735.5
1,0,yr2015,192,41.31,1756.7
1,0,yr2015,193,41.98,1810.9
1,0,yr2015,194,41.06,1802.7
1,0,yr2015,195,41.07,1927.6
1,0,yr2015,196,44.07,1878.2
1,0,yr2015,197,45.48,2148.9
1,0,yr2015,198,46.98,2277.9
1,0,yr2015,199,47.93,2047.0
1,0,yr2015,200,47.28,2094.1
1,0,yr2015,201,47.95,2214.1
1,0,yr2015,202,47.95,2267.4
1,0,yr2015,203,47.9,2434.6
1,0,yr2015,204,46.98,2355.5
1,0,yr2015,205,46.92,2309.1
1,0,yr2015,206,46.95,2323.5
1,0,yr2015,207,46.95,2186.5
1,0,yr2015,208,45.96,2185.0
1,0,yr2015,209,45.91,2225.9
1,0,yr2015,210,44.94,2118.3
1,0,yr2015,211,44.58,2460.2
1,0,yr2015,212,44.95,2320.3
1,0,yr2015,213,45.66,2354.1
1,0,yr2015,214,43.28,2081.5
1,0,yr2015,215,37.06,2119.7
1,0,yr2015,216,35.08,2147.6
1,0,yr2015,217,32.04,2001.6
1,0,yr2015,218,32.0,2103.3
1,0,yr2015,219,29.86,2142.5
1,0,yr2015,220,32.0,1948.1
1,0,yr2015,221,30.99,1982.4
1,0,yr2015,222,37.08,1878.9
1,0,yr2015,223,41.06,1876.8
1,0,yr2015,224,41.47,1983.7
1,0,yr2015,225,42.01,2083.2
1,0,yr2015,226,42.75,2237.6
1,0,yr2015,227,41.81,2048.0
1,0,yr2015,228,37.06,2034.2
1,0,yr2015,229,41.1,2166.2
1,0,yr2015,230,43.71,2189.9
1,0,yr2015,231,44.92,2080.9
1,0,yr2015,232,45.83,2285.3
