ca_id,cap_pwr_leg,cf_max,discharge_duration,erg_max,factor_vc_co2_lin_0,factor_vc_co2_lin_1,factor_vc_fl_lin_0,factor_vc_fl_lin_1,fc_om,pp_eff,pp_id,st_lss_hr,st_lss_rt,vc_om,vc_ramp,vc_ramp_high,vc_ramp_low,fc_cp_ann
0,779.9282,,0.0,,0.0,0.0,0.0,0.0,175000.0,0.21,39,0.0,0.0,20.233333333333302,11.705,15.39,8.02,
0,174.0,,0.0,,0.6192,0.0028468965517241397,2.22222222222222,0.0102171136653895,6435.0,0.0,46,0.0,0.0,5.2125,11.25,15.0,7.5,
0,4200.0,,0.0,,0.6192,0.00011794285714285701,2.22222222222222,0.00042328042328042297,6435.0,0.0,48,0.0,0.0,5.2125,11.25,15.0,7.5,
0,3197.9,,0.0,,0.6192,0.000154901654210576,2.22222222222222,0.000555920378303817,6435.0,0.0,50,0.0,0.0,5.2125,11.25,15.0,7.5,
0,75.0,,0.0,,0.6192,0.0066048,2.22222222222222,0.0237037037037037,6435.0,0.0,47,0.0,0.0,5.2125,11.25,15.0,7.5,
0,8496.5,,0.0,,0.6192,5.83016536220797e-05,2.22222222222222,0.000209236482996266,6435.0,0.0,49,0.0,0.0,5.2125,11.25,15.0,7.5,
0,1.0,,0.0,,0.0,0.0,0.0,0.0,6435.0,1.0,56,0.0,0.0,0.0,0.0,0.0,0.0,
0,1.0,,0.0,,0.0,0.0,0.0,0.0,6435.0,1.0,58,0.0,0.0,0.0,0.0,0.0,0.0,
0,1.0,,0.0,,0.0,0.0,0.0,0.0,6435.0,1.0,60,0.0,0.0,0.0,0.0,0.0,0.0,
0,1.0,,0.0,,0.0,0.0,0.0,0.0,6435.0,1.0,57,0.0,0.0,0.0,0.0,0.0,0.0,
0,1.0,,0.0,,0.0,0.0,0.0,0.0,6435.0,1.0,59,0.0,0.0,0.0,0.0,0.0,0.0,
0,3842.2,,0.0,,0.0,0.0,0.0,0.0,39836.363636363596,1.0,5,0.0,0.0,0.2,2.0,2.0,2.0,
0,1543.5,,504.030419461607,,0.0,0.0,0.0,0.0,47160.0,1.0,0,0.0,0.0,2.0,2.0,2.0,2.0,
0,8149.2,,5.74257425742574,,0.0,0.0,0.0,0.0,41683.3333333333,1.0,51,0.0001,0.264914821711842,1.5,0.0,0.0,0.0,
0,4157.78,,0.0,,0.0,0.0,0.0,0.0,39836.363636363596,1.0,8,0.0,0.0,0.2,2.0,2.0,2.0,
0,7559.2,,1011.54541521031,,0.0,0.0,0.0,0.0,47160.0,1.0,2,0.0,0.0,2.0,2.0,2.0,2.0,
0,1898.3,,20.3625377643505,,0.0,0.0,0.0,0.0,41683.3333333333,1.0,54,0.0001,0.25,1.5,0.0,0.0,0.0,
